Product Name,Product URL,Brand,Sale Price,Mrp,Discount Percentage,Number Of Ratings,Units Sold,Upc,Star Rating,Ram
"APPLE iPhone 12 Mini (Red, 64 GB)",https://www.flipkart.com/apple-iphone-12-mini-red-64-gb/p/itm255dd64643767?pid=MOBFWBYZNVWGWN2U,Apple,62900,69900,10,740,50,MOBFWBYZNVWGWN2U,4.5,6 GB
"APPLE iPhone 12 Pro Max (Gold, 128 GB)",https://www.flipkart.com/apple-iphone-12-pro-max-gold-128-gb/p/itme3ae592065711?pid=MOBFWBYZQVKT77YH,Apple,138900,145900,7,580,31,MOBFWBYZQVKT77YH,4.6,6 GB
"APPLE iPhone 12 (Green, 128 GB)",https://www.flipkart.com/apple-iphone-12-green-128-gb/p/itm4e0a120f7d9c4?pid=MOBFWBYZQXUEHF48,Apple,81900,89900,10,2092,128,MOBFWBYZQXUEHF48,4.6,6 GB
"APPLE iPhone 12 Pro (Pacific Blue, 512 GB)",https://www.flipkart.com/apple-iphone-12-pro-pacific-blue-512-gb/p/itm8a39d6779b04e?pid=MOBFWBYZTHSXKMGW,Apple,140900,150900,6,545,24,MOBFWBYZTHSXKMGW,4.5,4 GB
"APPLE iPhone 12 (White, 64 GB)",https://www.flipkart.com/apple-iphone-12-white-64-gb/p/itm8b88bdc03cd79?pid=MOBFWBYZTK33MBG9,Apple,70900,79900,11,2101,124,MOBFWBYZTK33MBG9,4.6,6 GB
"APPLE iPhone 12 (Black, 64 GB)",https://www.flipkart.com/apple-iphone-12-black-64-gb/p/itma2559422bf7c7?pid=MOBFWBYZU5FWK2VP,Apple,70900,79900,11,2092,108,MOBFWBYZU5FWK2VP,4.6,6 GB
"APPLE iPhone 12 (Red, 128 GB)",https://www.flipkart.com/apple-iphone-12-red-128-gb/p/itma7bd86885ed98?pid=MOBFWBYZUHPFWQRD,Apple,81900,89900,10,2101,110,MOBFWBYZUHPFWQRD,4.6,6 GB
"APPLE iPhone 12 Mini (Black, 64 GB)",https://www.flipkart.com/apple-iphone-12-mini-black-64-gb/p/itm38b727191eb08?pid=MOBFWBYZXSEGBS6F,Apple,62900,69900,10,740,50,MOBFWBYZXSEGBS6F,4.5,4 GB
"APPLE iPhone 12 Pro (Pacific Blue, 128 GB)",https://www.flipkart.com/apple-iphone-12-pro-pacific-blue-128-gb/p/itm97c833296c221?pid=MOBFWBYZXYSCEEEH,Apple,121900,129900,6,545,30,MOBFWBYZXYSCEEEH,4.5,6 GB
"APPLE iPhone 12 Pro Max (Pacific Blue, 128 GB)",https://www.flipkart.com/apple-iphone-12-pro-max-pacific-blue-128-gb/p/itmd89812b558a03?pid=MOBFWBYZZABKHZQA,Apple,138900,145900,7,580,32,MOBFWBYZZABKHZQA,4.6,6 GB
"APPLE iPhone 12 Pro Max (Silver, 256 GB)",https://www.flipkart.com/apple-iphone-12-pro-max-silver-256-gb/p/itm30faf74442adb?pid=MOBFWBYZZH4AM8FE,Apple,155900,165900,6,580,31,MOBFWBYZZH4AM8FE,4.6,6 GB
"APPLE iPhone 12 Pro Max (Gold, 256 GB)",https://www.flipkart.com/apple-iphone-12-pro-max-gold-256-gb/p/itm1e0354f5bbc8c?pid=MOBFWBYZZPW8JHQF,Apple,155900,165900,6,580,33,MOBFWBYZZPW8JHQF,4.6,6 GB
"APPLE iPhone 11 (White, 128 GB)",https://www.flipkart.com/apple-iphone-11-white-128-gb/p/itme32df47ea6742?pid=MOBFWQ6B7KKRXDDS,Apple,59999,63900,6,43707,2931,MOBFWQ6B7KKRXDDS,4.6,4 GB
"APPLE iPhone 11 (Red, 128 GB)",https://www.flipkart.com/apple-iphone-11-red-128-gb/p/itm8d14bd0e33a1c?pid=MOBFWQ6BEZTNK59G,Apple,59999,63900,6,43707,2870,MOBFWQ6BEZTNK59G,4.6,4 GB
"APPLE iPhone SE (White, 64 GB)",https://www.flipkart.com/apple-iphone-se-white-64-gb/p/itma00a19e11c81b?pid=MOBFWQ6BGWDVGF3E,Apple,32999,39900,17,95807,7224,MOBFWQ6BGWDVGF3E,4.5,2 GB
"APPLE iPhone SE (Black, 128 GB)",https://www.flipkart.com/apple-iphone-se-black-128-gb/p/itma9285ccc6af28?pid=MOBFWQ6BHUEVZPXD,Apple,39999,44900,11,95909,7823,MOBFWQ6BHUEVZPXD,4.5,2 GB
"APPLE iPhone SE (White, 128 GB)",https://www.flipkart.com/apple-iphone-se-white-128-gb/p/itmc2a0f593a4ad8?pid=MOBFWQ6BJEHMUUZY,Apple,39999,44900,11,95807,6994,MOBFWQ6BJEHMUUZY,4.5,2 GB
"APPLE iPhone SE (Red, 128 GB)",https://www.flipkart.com/apple-iphone-se-red-128-gb/p/itma4202509da171?pid=MOBFWQ6BJTVFKPEJ,Apple,39999,44900,11,95909,6540,MOBFWQ6BJTVFKPEJ,4.5,2 GB
"APPLE iPhone 11 (Black, 128 GB)",https://www.flipkart.com/apple-iphone-11-black-128-gb/p/itm8244e8d955aba?pid=MOBFWQ6BKRYBP5X8,Apple,59999,63900,6,43470,2821,MOBFWQ6BKRYBP5X8,4.6,4 GB
"APPLE iPhone SE (Black, 64 GB)",https://www.flipkart.com/apple-iphone-se-black-64-gb/p/itm4d3d5718a5c95?pid=MOBFWQ6BR3MK7AUG,Apple,32999,39900,17,95909,7111,MOBFWQ6BR3MK7AUG,4.5,4 GB
"APPLE iPhone 11 (Purple, 64 GB)",https://www.flipkart.com/apple-iphone-11-purple-64-gb/p/itm2b8d03427ddac?pid=MOBFWQ6BTFFJKGKE,Apple,51999,58900,11,43470,2381,MOBFWQ6BTFFJKGKE,4.6,4 GB
"APPLE iPhone 11 (White, 64 GB)",https://www.flipkart.com/apple-iphone-11-white-64-gb/p/itmfc6a7091eb20b?pid=MOBFWQ6BVWVEH3XE,Apple,51999,58900,11,43470,3001,MOBFWQ6BVWVEH3XE,4.6,4 GB
"APPLE iPhone 11 (Black, 64 GB)",https://www.flipkart.com/apple-iphone-11-black-64-gb/p/itm4e5041ba101fd?pid=MOBFWQ6BXGJCEYNY,Apple,51999,58900,11,43470,2991,MOBFWQ6BXGJCEYNY,4.6,4 GB
"APPLE iPhone 11 (Red, 64 GB)",https://www.flipkart.com/apple-iphone-11-red-64-gb/p/itmc3935326f2feb?pid=MOBFWQ6BYYV3FCU7,Apple,51999,58900,11,43470,2900,MOBFWQ6BYYV3FCU7,4.6,4 GB
